order_id,order_date,customer_id,product_id,product_name,category_id,unit_price,quantity,discount,total_sales,Year,Month,Day,TotalOrders,AvgOrderValue,TotalQuantity,AvgPrice
10248,1996-07-04,VINET,11,Queso Cabrales,4,14.0,12,0.0,168.0,1996,7,4,5,148.00000019073485,706,19.599999999999998
10248,1996-07-04,VINET,42,Singaporean Hokkien Fried Mee,5,9.8,10,0.0,98.00000190734863,1996,7,4,5,148.00000019073485,697,13.206666666666667
10248,1996-07-04,VINET,72,Mozzarella di Giovanni,4,34.8,5,0.0,173.99999618530273,1996,7,4,5,148.00000019073485,806,32.036842105263155
10249,1996-07-05,TOMSP,14,Tofu,7,18.6,9,0.0,167.40000343322754,1996,7,5,6,341.2957184007551,404,21.347727272727273
10249,1996-07-05,TOMSP,51,Manjimup Dried Apples,7,42.4,40,0.0,1696.0000610351562,1996,7,5,6,341.2957184007551,886,50.55384615384615
10250,1996-07-08,HANAR,41,Jack's New England Clam Chowder,8,7.7,10,0.0,76.99999809265137,1996,7,8,14,1026.292810889296,981,9.193617021276596
10250,1996-07-08,HANAR,51,Manjimup Dried Apples,7,42.4,35,0.15,1261.4000365495679,1996,7,8,14,1026.292810889296,886,50.55384615384615
10250,1996-07-08,HANAR,65,Louisiana Fiery Hot Pepper Sauce,2,16.8,15,0.15,214.199988770485,1996,7,8,14,1026.292810889296,745,19.45625
10251,1996-07-08,VICTE,22,Gustaf's Knäckebröd,5,16.8,6,0.05,95.75999557614327,1996,7,8,10,367.29719510589837,348,20.400000000000002
10251,1996-07-08,VICTE,57,Ravioli Angelo,5,15.6,15,0.05,222.3000052616,1996,7,8,10,367.29719510589837,434,18.143478260869564
10251,1996-07-08,VICTE,65,Louisiana Fiery Hot Pepper Sauce,2,16.8,20,0.0,335.99998474121094,1996,7,8,10,367.29719510589837,745,19.45625
10252,1996-07-09,SUPRD,20,Sir Rodney's Marmalade,3,64.8,40,0.05,2462.4001140356063,1996,7,9,12,617.6610328543186,313,75.9375
10252,1996-07-09,SUPRD,33,Geitost,4,2.0,25,0.05,47.4999999627471,1996,7,9,12,617.6610328543186,755,2.328125
10252,1996-07-09,SUPRD,60,Camembert Pierrot,4,27.2,40,0.0,1088.0000305175781,1996,7,9,12,617.6610328543186,1577,32.13333333333333
10253,1996-07-10,HANAR,31,Gorgonzola Telino,4,10.0,20,0.0,200.0,1996,7,10,14,1026.292810889296,1397,11.666666666666666
10253,1996-07-10,HANAR,39,Chartreuse verte,1,14.4,42,0.0,604.7999839782715,1996,7,10,14,1026.292810889296,793,16.68
10253,1996-07-10,HANAR,49,Maxilaku,3,16.0,40,0.0,640.0,1996,7,10,14,1026.292810889296,520,18.476190476190474
10254,1996-07-11,CHOPS,24,Guaraná Fantástica,1,3.6,15,0.15,45.89999846220017,1996,7,11,8,561.3127297003025,1125,4.235294117647059
10254,1996-07-11,CHOPS,55,Pâté chinois,6,19.2,21,0.15,342.72001121520987,1996,7,11,8,561.3127297003025,903,22.400000000000002
10254,1996-07-11,CHOPS,74,Longlife Tofu,7,8.0,21,0.0,168.0,1996,7,11,8,561.3127297003025,297,8.76923076923077
10255,1996-07-12,RICSU,2,Chang,1,15.2,20,0.0,303.99999618530273,1996,7,12,10,644.7926306773618,1057,17.87727272727273
10255,1996-07-12,RICSU,16,Pavlova,3,13.9,35,0.0,486.49998664855957,1996,7,12,10,644.7926306773618,1158,16.37674418604651
10255,1996-07-12,RICSU,36,Inlagd Sill,8,15.2,25,0.0,379.9999952316284,1996,7,12,10,644.7926306773618,805,17.896774193548385
10255,1996-07-12,RICSU,59,Raclette Courdavault,4,44.0,30,0.0,1320.0,1996,7,12,10,644.7926306773618,1496,51.129629629629626
10256,1996-07-15,WELLI,53,Perth Pasties,6,26.2,15,0.0,393.0000114440918,1996,7,15,9,319.3789458218766,722,30.16
10256,1996-07-15,WELLI,77,Original Frankfurter grüne Soße,2,10.4,12,0.0,124.79999542236328,1996,7,15,9,319.3789458218766,791,12.110526315789473
10257,1996-07-16,HILAA,27,Schoggi Schokolade,3,35.1,25,0.0,877.4999618530273,1996,7,16,18,505.97253168274426,365,40.96666666666667
10257,1996-07-16,HILAA,39,Chartreuse verte,1,14.4,6,0.0,86.39999771118164,1996,7,16,18,505.97253168274426,793,16.68
10257,1996-07-16,HILAA,77,Original Frankfurter grüne Soße,2,10.4,15,0.0,155.9999942779541,1996,7,16,18,505.97253168274426,791,12.110526315789473
10258,1996-07-17,ERNSH,2,Chang,1,15.2,50,0.2,607.999990105629,1996,7,17,30,1028.186060232132,1057,17.87727272727273
10258,1996-07-17,ERNSH,5,Chef Anton's Gumbo Mix,2,17.0,65,0.2,883.9999967068434,1996,7,17,30,1028.186060232132,298,19.610000000000003
10258,1996-07-17,ERNSH,32,Mascarpone Fabioli,4,25.6,6,0.2,122.88000137329101,1996,7,17,30,1028.186060232132,297,30.720000000000002
